year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1895,79.2,37.56,39.36,45.96,41.64,10.8,5.16,3.12,24.36,3.84,43.08,109.2,36.94,43.6641322314,41.8234507519
1896,98.76,64.44,34.32,56.04,42.72,18.84,0.48,10.08,21.24,40.92,124.8,96.6,50.77,43.6641322314,41.8541287766
1897,60.12,52.32,56.88,23.4,25.56,26.76,26.64,8.16,25.44,31.56,117.72,122.88,48.12,43.6641322314,41.8848068012
1898,36.36,83.64,31.44,27.96,20.52,38.76,8.28,5.88,36.24,45.48,68.64,60.72,38.66,43.6641322314,41.9154848259
1899,93.48,84.6,38.28,55.68,40.44,22.32,9.24,38.4,18.6,52.32,110.52,72.72,53.05,43.6641322314,41.9461628506
1900,58.44,58.08,64.68,30.12,48.84,44.28,12.6,17.88,19.56,64.8,48.48,95.88,46.97,43.6641322314,41.9768408752
1901,69.96,58.2,33.84,57.36,26.52,26.76,6.84,1.56,29.28,32.64,95.16,46.32,40.37,43.6641322314,42.0075188999
1902,53.76,90.84,63.72,41.64,32.52,17.88,21.12,11.28,31.8,29.04,101.4,103.44,49.87,43.6641322314,42.0381969245
1903,79.8,24.96,69.0,33.24,31.08,27.36,15.24,14.4,56.64,35.52,105.72,53.28,45.52,43.6641322314,42.0688749492
1904,71.28,88.2,85.2,37.2,11.52,24.6,9.12,8.52,8.76,30.96,103.68,78.0,46.42,43.6641322314,42.0995529739
1905,51.84,36.72,51.72,16.2,50.88,34.44,7.56,13.32,44.52,63.96,40.68,69.84,40.14,43.6641322314,42.1302309985
1906,65.76,49.68,23.76,12.12,46.44,38.76,2.88,3.36,51.48,65.4,101.88,80.88,45.2,43.6641322314,42.1609090232
1907,53.52,67.56,29.28,34.92,10.32,16.92,11.16,17.4,39.72,11.88,79.56,87.12,38.28,43.6641322314,42.1915870478
1908,54.96,61.8,65.28,36.48,41.52,15.72,9.12,19.2,4.44,48.24,62.16,66.84,40.48,43.6641322314,42.2222650725
1909,76.08,72.48,30.72,16.8,23.76,11.64,17.76,6.72,21.48,43.44,157.08,51.0,44.08,43.6641322314,42.2529430971
1910,79.32,70.56,45.0,35.4,28.08,18.12,1.44,8.28,20.76,74.4,112.08,73.44,47.24,43.6641322314,42.2836211218
1911,67.44,28.08,18.48,23.16,47.76,10.92,6.24,9.36,48.84,13.68,79.8,63.48,34.77,43.6641322314,42.3142991465
1912,71.04,48.6,23.04,32.76,30.72,31.68,15.48,46.08,15.72,48.84,85.8,79.56,44.11,43.6641322314,42.3449771711
1913,85.56,27.36,33.72,18.84,27.96,35.4,13.2,11.52,38.16,50.28,75.84,32.76,37.55,43.6641322314,42.3756551958
