year,0,1,2,3,4,5,6,7,8,9,10,11,annual,baseline,trendline
1895,36.2,42.6,43.6,48.5,53.5,59.5,62.6,61.2,54.5,50.9,42.3,39.9,49.6083333333,50.2552341598,49.5415266676
1896,38.9,43.0,41.4,45.3,51.0,58.3,65.0,62.4,55.4,50.6,35.4,42.5,49.1,50.2552341598,49.5534217924
1897,37.7,40.3,38.2,50.4,56.4,58.8,60.6,65.5,56.3,49.9,40.9,39.8,49.5666666667,50.2552341598,49.5653169173
1898,37.2,43.3,41.7,48.4,55.4,59.6,62.9,64.5,59.5,50.3,42.2,37.6,50.2166666667,50.2552341598,49.5772120422
1899,38.4,37.1,41.5,47.1,50.2,56.1,63.5,59.7,59.5,49.4,49.5,41.8,49.4833333333,50.2552341598,49.5891071671
1900,41.7,40.3,47.8,50.6,54.7,60.0,63.3,61.0,57.2,49.5,42.6,44.0,51.0583333333,50.2552341598,49.6010022919
1901,37.4,40.5,44.2,46.7,54.3,55.5,60.3,63.9,56.5,55.0,46.9,40.6,50.15,50.2552341598,49.6128974168
1902,37.7,44.1,43.1,48.1,55.0,58.4,61.9,62.4,56.8,52.1,42.9,39.5,50.1666666667,50.2552341598,49.6247925417
1903,40.0,37.7,41.0,46.3,52.7,60.1,60.0,61.9,56.4,51.2,43.1,40.6,49.25,50.2552341598,49.6366876665
1904,39.2,37.9,40.3,51.0,52.6,57.8,63.5,62.2,59.2,52.5,47.8,41.6,50.4666666667,50.2552341598,49.6485827914
1905,38.1,40.8,48.2,50.4,53.6,58.4,63.6,62.1,58.6,46.9,43.1,40.3,50.3416666667,50.2552341598,49.6604779163
1906,39.9,42.5,43.8,51.4,53.6,57.4,66.8,63.1,57.7,51.8,42.4,40.2,50.8833333333,50.2552341598,49.6723730411
1907,30.0,40.5,41.7,47.5,55.7,58.2,63.3,60.6,58.1,52.4,45.7,40.8,49.5416666667,50.2552341598,49.684268166
1908,38.9,39.8,43.1,48.5,51.5,58.0,64.7,61.8,56.4,49.5,46.5,37.1,49.65,50.2552341598,49.6961632909
1909,30.9,40.5,43.1,46.6,51.4,58.4,60.0,60.2,58.7,50.6,42.9,34.0,48.1083333333,50.2552341598,49.7080584158
1910,35.9,35.8,46.1,48.3,55.6,56.9,61.9,59.3,56.9,50.7,42.6,40.8,49.2333333333,50.2552341598,49.7199535406
1911,34.7,37.7,44.0,45.4,51.7,56.4,63.7,61.3,55.8,50.1,41.9,39.5,48.5166666667,50.2552341598,49.7318486655
1912,39.0,42.2,42.4,47.6,56.1,59.5,63.0,61.4,57.5,48.5,44.4,39.9,50.125,50.2552341598,49.7437437904
1913,34.2,37.9,40.7,48.3,53.2,59.0,62.4,63.8,57.9,48.8,44.0,40.2,49.2,50.2552341598,49.7556389152
1914,41.4,40.7,46.2,50.7,56.7,58.2,63.0,62.2,55.8,53.6,45.0,36.0,50.7916666667,50.2552341598,49.7675340401
1915,38.0,43.2,48.8,51.8,54.9,59.1,63.3,64.9,57.7,52.1,41.5,40.0,51.275,50.2552341598,49.779429165
1916,28.0,39.9,43.0,48.7,51.1,58.0,60.4,62.3,57.3,47.6,40.7,36.0,47.75,50.2552341598,49.7913242898
1917,35.7,37.9,40.0,46.2,52.1,56.1,61.7,63.4,58.0,51.2,47.8,42.3,49.3666666667,50.2552341598,49.8032194147
1918,41.4,38.5,43.0,48.7,52.1,60.4,62.6,62.2,60.6,52.2,44.0,39.4,50.425,50.2552341598,49.8151145396
1919,39.4,39.7,43.8,49.3,52.7,55.9,61.3,61.9,58.2,47.4,42.7,36.2,49.0416666667,50.2552341598,49.8270096645
1920,37.4,39.2,43.1,44.6,50.2,57.4,63.1,63.0,57.0,49.0,44.5,41.5,49.1666666667,50.2552341598,49.8389047893
1921,38.9,41.7,43.5,46.7,52.5,58.9,60.0,61.4,55.6,51.5,43.7,37.0,49.2833333333,50.2552341598,49.8507999142
1922,33.8,37.1,40.6,45.7,53.4,59.9,61.8,62.0,58.5,51.9,41.4,35.7,48.4833333333,50.2552341598,49.8626950391
1923,38.4,35.9,42.7,49.7,53.5,59.2,63.6,64.7,59.2,52.4,45.3,40.2,50.4,50.2552341598,49.8745901639
1924,38.3,44.8,42.9,47.5,56.0,59.0,62.2,61.5,57.8,51.2,42.1,34.8,49.8416666667,50.2552341598,49.8864852888
1925,40.1,43.8,43.7,49.7,56.8,58.7,63.8,61.9,58.5,49.1,43.5,43.8,51.1166666667,50.2552341598,49.8983804137
1926,39.5,44.7,48.2,53.9,55.2,61.4,64.4,62.8,56.0,53.0,46.9,39.2,52.1,50.2552341598,49.9102755385
1927,38.1,41.6,42.6,47.1,51.4,60.4,63.6,63.8,57.9,51.7,43.9,34.9,49.75,50.2552341598,49.9221706634
1928,39.8,41.3,46.5,48.0,56.7,58.8,64.3,61.9,56.9,50.4,44.7,38.5,50.65,50.2552341598,49.9340657883
1929,32.2,33.6,44.1,45.8,53.3,58.0,62.2,62.9,58.4,53.2,42.0,40.9,48.8833333333,50.2552341598,49.9459609132
1930,28.4,42.3,45.0,51.2,52.2,57.7,61.6,63.6,58.2,49.1,42.5,40.3,49.3416666667,50.2552341598,49.957856038
1931,43.1,42.0,45.6,50.6,56.6,58.6,63.3,62.2,58.2,50.7,40.6,39.3,50.9,50.2552341598,49.9697511629
1932,36.5,39.1,45.0,49.6,53.2,59.9,59.8,62.2,58.4,52.2,46.7,36.3,49.9083333333,50.2552341598,49.9816462878
1933,37.4,35.6,43.4,47.6,51.2,57.0,60.8,63.9,55.5,51.2,44.4,42.5,49.2083333333,50.2552341598,49.9935414126
